date,S,I,R,D,C_cumulativos,N_populacao,I_interpolado
2014-08-29,12599352,158,60,430,648,12600000,0
2014-09-05,12599188,289,6,517,812,12600000,0
2014-09-08,12599138,307,0,555,862,12600000,0
2014-09-12,12599139,304,0,557,861,12600000,0
2014-09-16,12599064,308,33,595,936,12600000,0
2014-09-18,12599058,312,29,601,942,12600000,0
2014-09-22,12598992,302,74,632,1008,12600000,0
2014-09-24,12598978,292,95,635,1022,12600000,0
2014-09-26,12598926,281,145,648,1074,12600000,0
2014-10-01,12598843,270,177,710,1157,12600000,0
2014-10-03,12598801,300,160,739,1199,12600000,0
2014-10-08,12598702,331,199,768,1298,12600000,0
2014-10-10,12598650,364,208,778,1350,12600000,0
2014-10-15,12598528,397,232,843,1472,12600000,0
2014-10-17,12598481,253,404,862,1519,12600000,0
2014-10-22,12598460,109,527,904,1540,12600000,0
2014-10-25,12598447,388,239,926,1553,12600000,0
2014-10-29,12598094,666,243,997,1906,12600000,0
2014-10-31,12598333,461,188,1018,1667,12600000,0
2014-11-05,12598269,256,434,1041,1731,12600000,0
2014-11-07,12598240,290,416,1054,1760,12600000,0
2014-11-12,12598122,325,411,1142,1878,12600000,0
2014-11-14,12598081,320,433,1166,1919,12600000,0
2014-11-19,12598029,315,464,1192,1971,12600000,0
2014-11-21,12597953,344,489,1214,2047,12600000,0
2014-11-26,12597866,374,500,1260,2134,12600000,0
2014-12-01,12597845,340,503,1312,2155,12600000,0
2014-12-03,12597836,306,531,1327,2164,12600000,0
2014-12-10,12597708,321,543,1428,2292,12600000,0
2014-12-15,12597606,285,591,1518,2394,12600000,0
2014-12-17,12597584,249,642,1525,2416,12600000,0
2014-12-19,12597546,269,635,1550,2454,12600000,0
2014-12-22,12597429,288,697,1586,2571,12600000,0
2014-12-23,12597403,308,682,1607,2597,12600000,0
2014-12-24,12597403,328,662,1607,2597,12600000,0
2014-12-26,12597370,332,644,1654,2630,12600000,0
2014-12-29,12597305,337,661,1697,2695,12600000,0
2014-12-30,12597294,342,656,1708,2706,12600000,0
2014-12-31,12597293,346,652,1709,2707,12600000,0
2015-01-02,12597270,346,645,1739,2730,12600000,0
2015-01-05,12597231,345,657,1767,2769,12600000,0
2015-01-06,12597225,344,650,1781,2775,12600000,0
2015-01-07,12597225,344,650,1781,2775,12600000,0
2015-01-14,12597194,230,762,1814,2806,12600000,0
2015-01-21,12597129,136,859,1876,2871,12600000,0
2015-01-28,12597083,92,915,1910,2917,12600000,0
2015-02-04,12597025,89,942,1944,2975,12600000,0
2015-02-11,12596956,134,915,1995,3044,12600000,0
2015-02-18,12596892,156,895,2057,3108,12600000,0
2015-02-25,12596845,152,912,2091,3155,12600000,0
2015-03-04,12596781,138,952,2129,3219,12600000,0
2015-03-11,12596715,144,971,2170,3285,12600000,0
2015-03-18,12596611,204,961,2224,3389,12600000,0
2015-03-25,12596571,198,968,2263,3429,12600000,0
2015-04-01,12596508,197,981,2314,3492,12600000,0
2015-04-08,12596485,123,1059,2333,3515,12600000,0
2015-04-15,12596452,106,1096,2346,3548,12600000,0
2015-04-22,12596435,70,1137,2358,3565,12600000,0
2015-04-29,12596416,69,1138,2377,3584,12600000,0
2015-05-06,12596411,50,1153,2386,3589,12600000,0
2015-05-13,12596403,38,1167,2392,3597,12600000,0
2015-05-20,12596365,43,1185,2407,3635,12600000,0
2015-05-27,12596359,43,1178,2420,3641,12600000,0
2015-06-03,12596348,49,1174,2429,3652,12600000,0
2015-06-10,12596330,38,1195,2437,3670,12600000,0
2015-06-17,12596326,35,1195,2444,3674,12600000,0
2015-06-24,12596282,34,1211,2473,3718,12600000,0
2015-07-01,12596271,34,1213,2482,3729,12600000,0
2015-07-08,12596252,42,1207,2499,3748,12600000,0
2015-07-15,12596240,43,1211,2506,3760,12600000,0
2015-07-22,12596217,53,1218,2512,3783,12600000,0
2015-07-29,12596214,53,1213,2520,3786,12600000,0
2015-08-05,12596216,27,1235,2522,3784,12600000,0
2015-08-12,12596213,7,1256,2524,3787,12600000,0
2015-08-19,12596214,6,1256,2524,3786,12600000,0
2015-08-26,12596208,8,1257,2527,3792,12600000,0
2015-09-02,12596208,8,1255,2529,3792,12600000,0
2015-09-09,12596208,6,1256,2530,3792,12600000,0
2015-09-16,12596208,3,1259,2530,3792,12600000,0
2015-09-23,12596200,3,1265,2532,3800,12600000,0
2015-09-30,12596195,6,1266,2533,3805,12600000,0
2015-10-07,12596196,6,1264,2534,3804,12600000,0
2015-10-14,12596200,4,1262,2534,3800,12600000,0
2015-10-21,12596197,3,1265,2535,3803,12600000,0
2015-10-28,12596194,6,1265,2535,3806,12600000,0
2015-11-04,12596190,7,1267,2536,3810,12600000,0
2015-11-11,12596195,4,1265,2536,3805,12600000,0
2015-11-18,12596196,1,1267,2536,3804,12600000,0
2015-11-25,12596196,0,1268,2536,3804,12600000,0
2015-12-02,12596196,0,1268,2536,3804,12600000,0
2015-12-09,12596196,0,1268,2536,3804,12600000,0
2015-12-16,12596193,0,1271,2536,3807,12600000,0
2015-12-23,12596196,0,1268,2536,3804,12600000,0
2015-12-30,12596196,0,1268,2536,3804,12600000,0
2016-01-06,12596196,0,1268,2536,3804,12600000,0
